Ticker,Company,Model,Sector,AIC,BIC,RMSE,MAE,MAPE_%,DA_%,R2,Lookback,Weights
ITC.NS,ITC,"ARIMA(3, 1, 2)",FMCG,6727.46,6757.18,33.7893,24.9517,5.2442,48.72,-0.3443,,
ITC.NS,ITC,ETS(Holt-Add),FMCG,3782.48,,26.6866,20.9231,4.4486,51.28,0.1615,,
ITC.NS,ITC,Prophet-STL (Custom),FMCG,,,66.9599,62.5358,14.176,51.28,-4.279,,
ITC.NS,ITC,LSTM,FMCG,,,5.7261,4.6676,1.0295,41.03,0.9614,60.0,
ITC.NS,ITC,Ensemble,FMCG,,,9.6611,8.1466,1.7877,41.03,0.8901,,"{'ARIMA': 0.115, 'ETS': 0.146, 'Prophet': 0.058, 'LSTM': 0.68}"
SUNPHARMA.NS,Sun Pharma,"ARIMA(2, 1, 1)",Pharma,9162.93,9182.74,215.4702,203.9289,15.6591,50.0,-8.4611,,
SUNPHARMA.NS,Sun Pharma,ETS(HW-Mul),Pharma,6208.35,,248.2673,238.9803,18.2847,47.44,-11.5605,,
SUNPHARMA.NS,Sun Pharma,Prophet-STL (Custom),Pharma,,,136.0343,126.4575,9.7202,52.56,-2.7711,,
SUNPHARMA.NS,Sun Pharma,LSTM,Pharma,,,27.0245,22.2997,1.6743,43.59,0.8512,60.0,
SUNPHARMA.NS,Sun Pharma,Ensemble,Pharma,,,60.9387,55.2561,4.2414,42.31,0.2432,,"{'ARIMA': 0.088, 'ETS': 0.076, 'Prophet': 0.139, 'LSTM': 0.698}"
TATAMOTORS.NS,Tata Motors,"ARIMA(1, 1, 2)",Auto,8486.41,8506.22,57.6762,51.9648,9.7277,55.13,-1.8091,,
TATAMOTORS.NS,Tata Motors,ETS(HW-Mul),Auto,5545.25,,68.3392,60.7408,11.3985,47.44,-2.9438,,
TATAMOTORS.NS,Tata Motors,Prophet-STL (Custom),Auto,,,179.1687,172.9263,32.0317,60.26,-26.1083,,
TATAMOTORS.NS,Tata Motors,LSTM,Auto,,,16.383,12.8634,2.3277,52.56,0.7733,60.0,
TATAMOTORS.NS,Tata Motors,Ensemble,Auto,,,32.8745,28.798,5.3888,50.0,0.0874,,"{'ARIMA': 0.176, 'ETS': 0.148, 'Prophet': 0.057, 'LSTM': 0.619}"
ICICIBANK.NS,ICICI Bank,"ARIMA(2, 1, 1)",Banking,9179.67,9199.48,104.6955,90.8873,8.1702,57.69,-2.9683,,
ICICIBANK.NS,ICICI Bank,ETS(Holt-Add),Banking,6217.8,,126.2741,114.3854,10.2271,41.03,-4.7727,,
ICICIBANK.NS,ICICI Bank,Prophet-STL (Custom),Banking,,,277.9281,271.2991,23.9724,53.85,-26.965,,
ICICIBANK.NS,ICICI Bank,LSTM,Banking,,,18.935,15.6433,1.3715,50.0,0.8702,60.0,
ICICIBANK.NS,ICICI Bank,Ensemble,Banking,,,45.0247,39.458,3.5249,48.72,0.2661,,"{'ARIMA': 0.129, 'ETS': 0.107, 'Prophet': 0.049, 'LSTM': 0.715}"
INFY.NS,Infosys,"ARIMA(1, 1, 1)",IT,9685.78,9700.64,274.5417,245.6439,9.3462,57.69,-4.0136,,
INFY.NS,Infosys,ETS(HW-Add),IT,6723.68,,401.9306,369.9791,14.0026,51.28,-9.7457,,
INFY.NS,Infosys,Prophet-STL (Custom),IT,,,350.3782,326.312,11.9193,53.85,-7.1659,,
INFY.NS,Infosys,LSTM,IT,,,48.974,40.7632,1.5227,58.97,0.8405,60.0,
INFY.NS,Infosys,Ensemble,IT,,,72.5546,57.3717,2.1959,57.69,0.6498,,"{'ARIMA': 0.124, 'ETS': 0.085, 'Prophet': 0.097, 'LSTM': 0.694}"
MARUTI.NS,Maruti,"ARIMA(2, 1, 2)",Auto,13807.86,13832.62,1007.5348,896.8525,7.7436,50.0,-2.3547,,
MARUTI.NS,Maruti,ETS(HW-Mul),Auto,10860.67,,1388.0476,1259.0124,10.8402,52.56,-5.3671,,
MARUTI.NS,Maruti,Prophet-STL (Custom),Auto,,,622.0845,516.0259,4.3968,55.13,-0.2789,,
MARUTI.NS,Maruti,LSTM,Auto,,,250.2815,199.3275,1.6822,38.46,0.793,60.0,
MARUTI.NS,Maruti,Ensemble,Auto,,,438.1714,375.8172,3.2313,39.74,0.3655,,"{'ARIMA': 0.136, 'ETS': 0.098, 'Prophet': 0.22, 'LSTM': 0.546}"
DRREDDY.NS,Dr Reddy's,"ARIMA(1, 1, 1)",Pharma,12940.22,12955.08,444.9168,379.4354,6.9344,47.44,-2.5234,,
DRREDDY.NS,Dr Reddy's,ETS(Holt-Add),Pharma,9983.98,,491.3424,433.4104,7.894,50.0,-3.2971,,
DRREDDY.NS,Dr Reddy's,Prophet-STL (Custom),Pharma,,,1224.5517,1189.905,21.4018,48.72,-25.6907,,
DRREDDY.NS,Dr Reddy's,LSTM,Pharma,,,105.7349,85.9594,1.5374,47.44,0.801,60.0,
DRREDDY.NS,Dr Reddy's,Ensemble,Pharma,,,227.25,195.4659,3.555,46.15,0.0808,,"{'ARIMA': 0.154, 'ETS': 0.14, 'Prophet': 0.056, 'LSTM': 0.65}"
HDFCBANK.NS,HDFC Bank,"ARIMA(2, 1, 1)",Banking,9660.4,9680.21,118.0898,103.3944,5.7922,46.15,-3.0239,,
HDFCBANK.NS,HDFC Bank,ETS(HW-Add),Banking,6705.61,,131.6237,118.8626,6.6413,56.41,-3.9991,,
HDFCBANK.NS,HDFC Bank,Prophet-STL (Custom),Banking,,,238.0903,232.4598,12.8797,56.41,-15.3572,,
HDFCBANK.NS,HDFC Bank,LSTM,Banking,,,29.1301,22.6368,1.2449,47.44,0.7551,60.0,
HDFCBANK.NS,HDFC Bank,Ensemble,Banking,,,59.9419,52.0998,2.9097,47.44,-0.0368,,"{'ARIMA': 0.155, 'ETS': 0.139, 'Prophet': 0.077, 'LSTM': 0.629}"
