Ticker,Company,Sector,Rows,Date_From,Date_To,Missing_BDays,Null_Values,Zero_Vol_Days,Price_Anomalies(>20%),Coverage_%,Status
HDFCBANK.NS,HDFC Bank,Banking,1126,2021-01-01,2025-06-30,46,0,2,0,95.7,✅ PASS
ICICIBANK.NS,ICICI Bank,Banking,1126,2021-01-01,2025-06-30,46,0,0,0,95.7,✅ PASS
INFY.NS,Infosys,IT,1126,2021-01-01,2025-06-30,46,0,0,0,95.7,✅ PASS
TCS.NS,TCS,IT,1126,2021-01-01,2025-06-30,46,0,2,0,95.7,✅ PASS
SUNPHARMA.NS,Sun Pharma,Pharma,1126,2021-01-01,2025-06-30,46,0,2,0,95.7,✅ PASS
DRREDDY.NS,Dr Reddy's,Pharma,1126,2021-01-01,2025-06-30,46,0,3,0,95.7,✅ PASS
HINDUNILVR.NS,HUL,FMCG,1126,2021-01-01,2025-06-30,46,0,1,0,95.7,✅ PASS
ITC.NS,ITC,FMCG,1126,2021-01-01,2025-06-30,46,0,0,0,95.7,✅ PASS
MARUTI.NS,Maruti,Auto,1126,2021-01-01,2025-06-30,46,0,1,0,95.7,✅ PASS
TATAMOTORS.NS,Tata Motors,Auto,1126,2021-01-01,2025-06-30,46,0,0,0,95.7,✅ PASS
