,Return_Score,Volatility_Score,Sharpe_Score,Trend_Score,Liquidity_Score,Composite,Company,Sector,Selected,Status
ITC.NS,7.176969538203747,7.203215109938638,10.0,4.196741441650812,9.564922891953287,7.820888911981615,ITC,FMCG,True,✅ SELECTED
SUNPHARMA.NS,7.182701996492181,5.258018269008225,8.972419094221113,10.0,2.8064553839280713,7.319650419583832,Sun Pharma,Pharma,True,✅ SELECTED
TATAMOTORS.NS,10.0,0.0,9.505030558431276,1.5800734147079762,10.0,6.588520179735579,Tata Motors,Auto,True,✅ SELECTED
ICICIBANK.NS,4.817326639308341,5.961206980566694,6.53259955259408,8.38928954751557,2.8166697512959953,5.896413328975583,ICICI Bank,Banking,True,✅ SELECTED
INFY.NS,4.81780223451938,7.913398886582316,7.171658945705513,2.3542971562256305,1.2337556167490762,5.415148154766714,Infosys,IT,True,✅ SELECTED
MARUTI.NS,4.850887190752741,5.755667684473079,6.5159766131326755,4.4122923333277795,0.0,4.980492168521771,Maruti,Auto,True,✅ SELECTED
DRREDDY.NS,3.6611824726858506,5.296082475950581,5.074734671796036,1.832131796551273,0.17297892780423388,3.7890501771635043,Dr Reddy's,Pharma,True,✅ SELECTED
HDFCBANK.NS,2.431712833874405,8.274311232137718,3.8501174350036904,0.4537446112974689,1.1534459052598376,3.6012319676178564,HDFC Bank,Banking,True,✅ SELECTED
HINDUNILVR.NS,1.1353372147070901,10.0,1.6889689730983863,0.0,0.5994173359109205,2.85046672919738,HUL,FMCG,False,❌ Dropped
TCS.NS,0.0,9.218212871676409,0.0,0.48751697884233786,0.367913732509099,1.9535614944125423,TCS,IT,False,❌ Dropped
