Ticker,Company,Sector,Price_Min,Price_Max,Price_Mean,Price_Std,Total_Ret%,Ann_Ret%,Ann_Vol%,Sharpe,Skewness,Kurtosis,Max_1D_Gain%,Max_1D_Loss%
HDFCBANK.NS,HDFC Bank,Banking,1215.88,2222.97,1743.19,274.9,23.7,7.24,22.24,0.056,0.009,0.036,4.84,-4.57
ICICIBANK.NS,ICICI Bank,Banking,538.87,1634.55,1090.87,280.04,59.98,14.32,27.55,0.302,0.023,-0.022,5.08,-6.34
INFY.NS,Infosys,IT,986.31,2994.46,1693.87,570.56,68.28,14.32,23.07,0.361,0.012,0.14,5.16,-5.01
TCS.NS,TCS,IT,2201.38,4066.16,3069.74,380.01,-8.52,0.02,20.07,-0.298,0.09,0.089,4.23,-3.49
SUNPHARMA.NS,Sun Pharma,Pharma,529.68,1715.5,1006.22,313.82,114.46,21.34,29.16,0.526,0.08,-0.028,5.77,-6.64
DRREDDY.NS,Dr Reddy's,Pharma,4043.65,9790.32,6250.37,1081.96,34.65,10.88,29.07,0.168,0.047,-0.025,5.45,-5.71
HINDUNILVR.NS,HUL,FMCG,1940.53,2877.94,2388.7,184.68,7.97,3.39,18.28,-0.143,0.039,0.279,4.16,-4.49
ITC.NS,ITC,FMCG,188.47,582.98,375.39,110.77,126.07,21.32,24.7,0.62,0.093,-0.092,5.6,-4.43
MARUTI.NS,Maruti,Auto,6042.55,14231.8,10068.83,2119.32,59.74,14.42,28.02,0.3,-0.021,0.093,5.42,-5.91
TATAMOTORS.NS,Tata Motors,Auto,172.07,977.77,489.48,206.65,157.71,29.7,41.23,0.575,0.015,-0.006,7.67,-9.76
